Год, Наименование, Уровень расхода материалов Крм в %
2019, Мастика «Транскор» т.1.9(ПЭКОМ), NaN
2019, Мастика «Транскор» т.1.8, 97.0
2019, Мастика «Транскор» т.1.9, 99.6
2019, Мастика «Транскор» т.2.2, 101.8
2019, Мастика «Транскор» т.2.4, 104.6
2019, Мастика «Биткор-Р» т.1.7, 98.5
2019, Мастика «Биткор-Р» т.1.8, 96.9
2019, Мастика «Биткор-Р» т.1.9, 99.9
2019, Мастика «Биткор-Р» т.2.2, 102.7
2019, Мастика «Биткор-Р» т.2.4, 103.5
2019, Мастика МБПР т.2.2, 102.7
2019, Мастика МБПР т.2.4, NaN
2019, Пленка оберточная ПЭКОМ 1.9, NaN
2019, ПВХ тол. Продукции 1.7, 102.5
2019, ПВХ тол. Продукции 1.8, 108.6
2019, ПВХ тол. Продукции 1.9, 99.7
2019, ПВХ тол. Продукции 2.2, 98.6
2019, ПВХ тол. Продукции 2.4, 98.2
2019, Ант-зив тол.Продук.1.9(ПЭКОМ), NaN
2019, Антиадгезив тол. Продук. 1.7, 104.7
2019, Антиадгезив тол. Продук. 1.8, 104.0
2019, Антиадгезив тол. Продук. 1.9, 97.3
2019, Антиадгезив тол. Продук. 2.2, 97.9
2019, Антиадгезив тол. Продук. 2.4, 97.1
2020, Мастика «Транскор» т.1.9(ПЭКОМ),NaN
2020, Мастика «Транскор» т.1.8, NaN
2020, Мастика «Транскор» т.1.9, 97
2020, Мастика «Транскор» т.2.2, 99.6
2020, Мастика «Транскор» т.2.4, 100
2020, Мастика «Биткор-Р» т.1.7, 98.3
2020, Мастика «Биткор-Р» т.1.8, 97.9
2020, Мастика «Биткор-Р» т.1.9, 96.1
2020, Мастика «Биткор-Р» т.2.2, 99.5
2020, Мастика «Биткор-Р» т.2.4, 99.1
2020, Мастика МБПР т.2.2, 99.5
2020, Мастика МБПР т.2.4, NaN
2020, Пленка оберточная ПЭКОМ 1.9, NaN 
2020, ПВХ тол. Продукции 1.7, 94.1
2020, ПВХ тол. Продукции 1.8, 90.4
2020, ПВХ тол. Продукции 1.9, 94.8
2020, ПВХ тол. Продукции 2.2, 96.9
2020, ПВХ тол. Продукции 2.4, 98.5
2020, Ант-зив тол.Продук.1.9(ПЭКОМ), NaN
2020, Антиадгезив тол. Продук. 1.7, 98.8
2020, Антиадгезив тол. Продук. 1.8, 101
2020, Антиадгезив тол. Продук. 1.9, 100
2020, Антиадгезив тол. Продук. 2.2, 97.9
2020, Антиадгезив тол. Продук. 2.4, 100
