+----------------+-------------------------+-----------+--------------+-------------+
|   ЛИТКОР-З_газ | №партии                 |   к стали |   с подплавл |   в нахлест |
|----------------+-------------------------+-----------+--------------+-------------|
|              0 | п040112                 |      30.5 |         27.3 |        25.6 |
|              1 | п040112                 |      32   |         30.2 |        24.8 |
|              2 | п040112                 |      30.5 |         27.4 |        24.7 |
|              3 | п030212                 |      30.3 |         28.8 |        25.4 |
|              4 | п030212                 |      28.3 |         26.5 |        23.8 |
|              5 | п030212                 |      31   |         28.1 |        23.7 |
|              6 | п010312                 |      29.4 |         29.6 |        24   |
|              7 | п010312                 |      30.4 |         27.9 |        16   |
|              8 | п140512                 |      34   |         29.4 |        26.5 |
|              9 | п150512                 |      28.4 |         26.7 |        23.9 |
|             10 | п260712                 |      41.7 |         29.4 |        26.3 |
|             11 | п270712                 |      37.4 |         25.8 |        20.4 |
|             12 | п200812                 |      21.2 |         21.6 |        24.8 |
|             13 | п210812                 |      35.6 |         36.1 |        35.3 |
|             14 | п220812                 |      31   |         30.1 |        32.7 |
|             15 | п010912                 |      26.6 |         28.6 |        27   |
|             16 | п010912                 |      26.5 |         21.9 |        29.1 |
|             17 | п010912                 |      31   |         30.5 |        28.3 |
|             18 | п041012                 |      35.8 |         27.1 |        28.9 |
|             19 | п051012                 |      27.6 |         25.5 |        27.6 |
|             20 | п081012                 |      32.8 |         27.2 |        24   |
|             21 | п081012                 |      30.4 |         27.3 |        23.6 |
|             22 | п081012                 |      30.4 |         26.2 |        22.4 |
|             23 | п061112                 |      27.4 |         24   |        21.6 |
|             24 | п131112                 |      27.9 |         23.8 |        23.3 |
|             25 | п261112                 |      28   |         23.2 |        19.2 |
|             26 | п041212                 |      28.8 |         25.6 |        19.2 |
|             27 | п171212                 |      32.8 |         28.8 |        26.4 |
|             28 | п080113                 |      25.6 |         24   |        20.8 |
|             29 | п080113                 |      24.8 |         24   |        23.2 |
|             30 | п010213                 |      25.6 |         24.8 |        24   |
|             31 | п020213                 |      24   |         23.2 |        22.4 |
|             32 | п020213                 |      26.4 |         24.8 |        25.6 |
|             33 | п040313                 |      24.8 |         22.4 |        21.6 |
|             34 | п180413                 |      27   |         24.2 |        21.8 |
|             35 | п180413                 |      25.2 |         22.4 |        21.8 |
|             36 | п180413                 |      27.4 |         23.8 |        22.6 |
|             37 | п240413                 |      26.8 |         22   |        21.4 |
|             38 | п290413                 |      26   |         27.1 |        23.3 |
|             39 | п040513                 |      24.7 |         22.1 |        23   |
|             40 | п080513                 |      26.2 |         24.8 |        24.3 |
|             41 | п040513                 |      22.5 |         21.2 |        26.7 |
|             42 | п130613                 |      26.3 |         23.4 |        23.6 |
|             43 | п140613                 |      25.8 |         23   |        22.4 |
|             44 | п140713                 |      28.2 |         27.6 |        23.5 |
|             45 | п140713                 |      27.6 |         25.4 |        24.8 |
|             46 | п090813                 |      27.4 |         26.5 |        24.6 |
|             47 | п090813                 |      26.8 |         24.6 |        22.7 |
|             48 | п140813                 |      29.8 |         27.3 |        26.6 |
|             49 | п090813                 |      26.2 |         25.4 |        24.6 |
|             50 | п090813                 |      26.3 |         26.7 |        26.9 |
|             51 | п050913                 |      25.6 |         24.6 |        23.1 |
|             52 | п050913                 |      24.8 |         25.2 |        25.4 |
|             53 | п050913                 |      24.5 |         25   |        25.1 |
|             54 | п050913                 |      25.3 |         25.1 |        24.8 |
|             55 | п050913                 |      24.6 |         24   |        23.2 |
|             56 | п050913                 |      24.2 |         23   |        21   |
|             57 | п050913                 |      27.3 |         26   |        25.8 |
|             58 | п050913                 |      26.9 |         24.7 |        25   |
|             59 | п050913                 |      25.3 |         24.9 |        21.4 |
|             60 | п061013                 |      26.9 |         25.2 |        25.8 |
