№партии,к стали,с подплавл,в нахлест
п040112,30.5,27.3,25.6
п040112,32.0,30.2,24.8
п040112,30.5,27.4,24.7
п030212,30.3,28.8,25.4
п030212,28.3,26.5,23.8
п030212,31.0,28.1,23.7
п010312,29.4,29.6,24.0
п010312,30.4,27.9,16.0
п140512,34.0,29.4,26.5
п150512,28.4,26.7,23.9
п260712,41.7,29.4,26.3
п270712,37.4,25.8,20.4
п200812,21.2,21.6,24.8
п210812,35.6,36.1,35.3
п220812,31.0,30.1,32.7
п010912,26.6,28.6,27.0
п010912,26.5,21.9,29.1
п010912,31.0,30.5,28.3
п041012,35.8,27.1,28.9
п051012,27.6,25.5,27.6
п081012,32.8,27.2,24.0
п081012,30.4,27.3,23.6
п081012,30.4,26.2,22.4
п061112,27.4,24.0,21.6
п131112,27.9,23.8,23.3
п261112,28.0,23.2,19.2
п041212,28.8,25.6,19.2
п171212,32.8,28.8,26.4
п080113,25.6,24.0,20.8
п080113,24.8,24.0,23.2
п010213,25.6,24.8,24.0
п020213,24.0,23.2,22.4
п020213,26.4,24.8,25.6
п040313,24.8,22.4,21.6
п180413,27.0,24.2,21.8
п180413,25.2,22.4,21.8
п180413,27.4,23.8,22.6
п240413,26.8,22.0,21.4
п290413,26.0,27.1,23.3
п040513,24.7,22.1,23.0
п080513,26.2,24.8,24.3
п040513,22.5,21.2,26.7
п130613,26.3,23.4,23.6
п140613,25.8,23.0,22.4
п140713,28.2,27.6,23.5
п140713,27.6,25.4,24.8
п090813,27.4,26.5,24.6
п090813,26.8,24.6,22.7
п140813,29.8,27.3,26.6
п090813,26.2,25.4,24.6
п090813,26.3,26.7,26.9
п050913,25.6,24.6,23.1
п050913,24.8,25.2,25.4
п050913,24.5,25.0,25.1
п050913,25.3,25.1,24.8
п050913,24.6,24.0,23.2
п050913,24.2,23.0,21.0
п050913,27.3,26.0,25.8
п050913,26.9,24.7,25.0
п050913,25.3,24.9,21.4
п061013,26.9,25.2,25.8
п061013,27.2,24.3,26.4
п061013,27.0,25.5,26.3
п061013,26.5,25.7,25.9
п061013,27.1,26.0,25.4
п061013,26.8,25.6,26.1
п061013,27.2,25.9,26.0
п061013,27.5,26.3,25.8
п061013,29.2,28.0,26.4
п061013,28.4,27.4,26.0
п211013,27.4,26.8,25.1
п061013,27.8,26.0,26.4
п271013,28.6,28.3,26.9
п061013,27.9,27.2,27.4
п061013,27.6,26.4,26.8
п061013,25.7,24.8,22.5
п061013,28.4,27.1,27.8
п011113,27.2,26.9,23.4
п011113,26.8,26.2,24.0
п011113,26.4,25.8,24.8
п011113,26.7,25.2,24.2
п011113,26.5,25.7,24.6
п011113,27.8,26.9,24.9
п111113,27.9,27.2,26.0
п011113,27.0,26.7,25.4
п011113,27.7,26.4,25.3
п011113,28.2,25.9,25.4
п011113,28.4,25.4,25.6
п011113,28.2,26.0,26.1
п011113,28.3,25.2,25.5
п011113,29.8,29.3,25.6
п011113,29.4,28.9,25.2
п301113,30.1,29.0,26.3
п011113,29.6,28.5,26.0
п041213,28.2,27.1,24.5
п041213,28.4,27.5,25.2
п041213,29.1,27.8,26.4
п041213,27.9,26.8,25.6
п041213,28.1,27.2,26.0
п041213,28.6,27.4,25.9
п041213,28.4,27.6,26.2
п041213,28.7,27.9,25.7
п041213,29.0,28.2,26.0
п041213,29.2,28.4,24.8
п041213,28.6,27.7,26.4
п041213,29.3,28.5,25.2
п041213,28.9,28.3,25.0
п090114,27.6,27.0,24.7
п090114,27.8,27.2,24.8
п090114,28.0,27.9,25.4
п090114,28.8,28.2,24.7
п090114,27.8,27.0,25.6
п310114,28.4,27.0,26.0
п090114,27.7,26.8,25.4
п030214,28.5,27.3,25.8
п090214,29.3,28.2,26.0
п040214,28.7,28.0,25.6
п090214,27.0,26.3,24.2
п030214,26.8,26.1,24.3
п030214,27.3,26.9,27.0
п090214,28.5,27.3,27.4
п030214,26.8,26.2,24.0
п030214,26.7,26.0,24.1
п030214,28.9,27.4,26.2
п030214,28.2,27.0,25.4
п030214,27.9,26.4,24.8
п010314,26.3,25.4,24.2
п010314,25.6,25.2,21.2
п010314,27.6,25.0,24.3
п030314,29.3,27.8,26.0
п010314,26.2,25.7,23.0
п030314,28.1,26.0,24.8
п010314,25.7,25.1,26.4
п010314,27.6,26.4,25.2
пп010314,27.2,26.5,25.4
п090414,26.7,25.8,23.2
п090414,27.6,28.7,26.9
п090414,18.2,19.4,16.6
п090414,28.2,29.4,26.6
п080514,26.2,25.4,23.1
п080514,26.5,26.8,25.1
п300514,27.4,25.8,26.7
п310514,26.2,25.2,25.8
п070614,25.6,25.1,22.4
п080614,24.5,23.9,21.8
п080614,24.2,23.8,21.1
п060714,24.2,23.6,22.1
п080714,24.6,24.2,22.3
п060714,24.1,23.8,21.6
п060814,24.6,23.7,23.0
п060814,24.8,24.2,23.6
п060814,25.1,24.8,23.8
п050914,28.6,28.1,26.2
п060914,27.9,27.1,25.1
п060914,29.1,28.9,26.2
п070914,28.3,27.9,25.6
п070914,28.7,28.1,25.9
п070914,27.2,26.7,25.2
п011014,28.1,27.4,26.1
п011014,27.6,25.9,23.7
п011014,26.3,25.3,23.4
п131014,28.6,27.0,26.5
п011014,31.6,30.2,26.2
п011014,26.5,26.0,22.7
п131014,27.4,26.3,24.1
п011014,28.0,27.9,24.6
п131014,28.7,26.7,26.9
п031114,26.9,26.4,23.8
п101114,27.3,27.0,24.5
п201114,26.7,26.3,24.2
п031114,25.1,25.3,23.8
п031114,26.3,25.7,22.8
п031114,26.5,25.4,22.3
п151214,29.4,28.9,25.1
п110115,26.8,25.9,24.5
п120115,27.4,27.0,23.6
п110115,26.7,26.1,24.2
п110115,26.5,26.0,22.7
п120115,28.2,27.4,25.0
п110115,28.3,27.6,22.7
п260115,27.1,26.6,22.0
п110115,28.5,27.2,22.4
п120115,28.4,28.1,24.3
п020215,27.6,27.2,24.8
п020215,26.4,26.9,23.9
п100215,25.9,25.3,21.7
п240215,27.3,25.7,22.4
п010315,27.9,27.2,24.7
п010315,26.8,25.7,24.2
п040415,27.1,26.8,24.2
п070415,26.2,26.0,24.7
п070415,27.3,27.0,24.2
п230515,26.4,26.0,24.3
п080615,26.6,26.1,24.7
п080615,26.6,25.8,24.8
п270715,29.6,30.4,28.8
п280815,30.4,28.8,29.6
п070815,29.6,28.0,28.8
п070815,28.8,27.2,26.4
п070815,29.4,27.6,28.3
п070815,29.4,28.5,30.0
п070815,28.8,28.0,27.2
п220815,29.6,28.6,27.8
п070815,28.5,28.1,27.6
п010915,27.7,27.3,26.8
п010915,27.5,26.8,26.7
п010915,27.3,27.4,26.8
п011015,27.5,26.6,26.3
п011015,26.4,25.6,24.8
п011015,26.8,25.4,25.2
п011015,28.4,27.3,26.7
п011015,29.8,28.3,27.0
п011015,30.4,27.0,25.6
п011015,30.0,29.4,29.3
п041115,31.3,30.0,29.7
п041115,31.3,28.0,29.7
п041115,32.4,29.0,31.3
п041115,32.3,28.0,30.9
п041115,31.8,29.0,30.8
п041115,32.4,31.5,31.3
п041115,31.7,30.0,30.6
п041115,31.7,31.1,30.6
п101115,33.2,32.4,31.0
п041115,32.4,31.9,30.8
п101115,33.6,31.8,31.4
п041115,31.8,30.4,29.5
п041115,31.5,30.8,29.7
п041115,31.3,30.5,29.6
п101115,33.7,31.2,30.8
п011215,30.2,28.7,29.5
п031215,32.7,31.6,30.4
п011215,29.6,28.4,29.2
п011215,31.5,30.7,29.9
п011215,29.8,27.6,27.9
п031215,30.7,28.3,28.4
п011215,29.9,28.2,28.5
п011215,29.4,28.0,28.7
п011215,29.6,27.9,28.7
п031215,30.2,29.3,29.4
п011215,29.4,28.0,28.8
п110116,35.6,35.4,30.7
п120116,37.1,36.7,32.5
п110116,30.0,29.4,29.7
п120116,31.2,30.4,30.2
п110116,28.0,27.2,26.4
п110116,28.4,27.7,27.8
п120116,31.2,30.4,29.6
п120116,30.8,29.6,29.5
п120116,31.4,30.8,30.1
п120116,30.9,29.3,29.7
п120116,31.2,30.6,29.4
п120116,30.6,29.8,29.4
п100216,28.4,26.9,29.3
п100216,28.8,27.2,29.4
п110216,38.4,37.7,37.6
п100216,29.6,28.4,28.5
п100216,29.4,27.9,28.5
п100316,30.2,28.8,28.0
п100316,30.8,28.4,28.3
п100316,29.5,28.8,28.4
п100316,29.3,28.9,28.0
п100316,30.0,29.4,29.1
п100316,28.9,27.4,28.3
п100316,29.4,28.0,27.8
п100316,28.9,27.3,27.4
п100316,28.8,28.0,27.2
п010416,28.7,28.2,27.4
п010416,29.3,28.4,28.7
п010416,29.0,27.3,28.4
п200616,30.2,29.8,28.0
п060716,30.2,29.5,29.3
п050816,38.4,36.8,33.6
п050816,37.8,36.0,33.2
п230816,35.8,36.0,34.4
п050816,32.8,31.0,31.2
п050816,32.9,31.2,31.4
п230816,36.4,35.6,34.8
п080916,32.8,31.8,30.6
п080916,33.0,32.2,31.4
п080916,33.2,32.8,32.0
п080916,32.8,31.4,30.8
п080916,33.6,33.8,32.0
п080916,35.0,34.4,32.8
п140916,36.0,35.2,34.8
п080916,34.8,34.0,32.8
п080916,33.6,33.8,32.0
п080916,33.8,32.8,31.2
п080916,30.8,30.4,29.6
п080916,30.4,28.8,29.8
п080916,30.8,30.8,29.6
п080916,29.8,30.4,29.6
п080916,29.8,28.8,28.0
п080916,30.4,30.8,29.8
п021016,30.4,29.8,28.8
п021016,30.3,28.9,29.3
п061016,28.9,27.7,28.2
п061016,28.5,27.4,28.0
п061016,30.4,29.6,30.8
п061016,30.8,29.6,28.8
п061016,29.9,29.8,28.9
п031116,29.0,30.2,30.8
п031116,28.8,29.8,30.4
п031116,28.4,30.5,31.0
п031116,30.2,30.4,30.8
п031116,29.6,28.9,33.8
п031116,29.5,29.8,30.0
п011216,29.3,27.9,28.7
п011216,29.8,28.0,30.4
п011216,29.3,28.5,29.9
п011216,29.9,29.2,29.0
п061216,31.0,30.4,31.8
п011216,29.2,28.8,29.0
п011216,29.0,29.6,29.8
п011216,28.4,27.3,29.2
п010117,28.4,27.5,29.3
п100117,28.2,27.3,29.0
п020117,30,28.6,30.3
п010117,28.3,27.7,28.9
п010117,29,28.5,29.6
п010117,28.8,28,29.1
п010117,28.9,28.4,28.3
п010117,28.7,27.4,29.0
п010117,27.9,27.3,28.5
п010117,28.5,27.6,28.8
