№партии,к стали,с подплавл,в нахлест
п070212,25.8,21.6,18.8
п150212,28.6,24.0,22.1
п020312,29.1,22.1,18.8
п251012,32.0,27.2,25.6
п080213,28.0,26.4,20.8
п100413,25.0,23.0,16.0
п270413,25.4,27.3,21.7
п090513,24.8,21.8,20.7
п120613,23.7,22.3,20.3
п070713,26.7,21.4,25.6
п070713,21.8,22.0,19.8
п070713,21.4,22.7,17.8
п040713,22.5,21.0,20.2
п040713,21.8,21.2,18.7
п040713,22.0,23.2,20.1
п040713,22.9,20.1,21.8
п040713,22.4,20.4,21.0
п040713,25.2,23.2,23.6
п040713,26.6,23.8,25.4
п040713,23.6,20.7,22.9
п040713,25.4,24.0,24.8
п040713,23.5,23.0,24.2
п010813,24.2,25.0,23.7
п010813,26.2,24.3,24.8
п010813,26.8,23.8,25.0
п010813,25.6,22.3,24.6
п010813,26.0,24.6,23.9
п080813,25.9,24.4,23.2
п110813,29.2,28.3,31.3
п080813,26.2,25.5,30.0
п080813,25.8,24.3,27.4
п080813,26.4,24.6,27.2
п110913,28.2,26.0,25.8
п110913,25.8,26.2,28.2
п120913,30.0,28.4,31.0
п110913,30.2,29.0,26.4
п120913,30.8,29.3,26.2
п230913,27.4,25.6,26.0
п110913,26.4,25.4,24.3
п031013,25.1,24.5,27.1
п031013,25.8,25.0,26.8
п181013,36.7,35.9,28.4
п181013,36.3,35.7,29.2
п181013,36.0,35.4,28.6
п181013,36.7,36.0,29.0
п181013,36.5,35.6,28.4
п181013,36.7,36.0,28.5
п261013,27.7,25.7,26.2
п261013,27.5,25.4,26.3
пп031113,27.8,27.2,28.5
п041113,25.9,25.0,26.4
п041113,25.7,24.7,25.4
п181113,35.6,35.2,28.8
п181113,35.8,35.4,29.0
п181113,35.4,35.2,28.7
п261113,26.7,25.8,27.3
п041113,28.6,28.0,30.3
п011213,32.4,30.4,33.8
п011213,30.2,29.0,31.4
п141213,30.7,30.0,31.5
п150114,30.1,29.2,30.7
п150114,29.7,28.6,30.0
п290114,30.8,29.5,32.1
п080214,29.4,28.2,26.5
п080214,29.4,28.0,26.2
п220214,25.9,25.2,27.0
п060314,25.2,24.8,26.1
п080214,29.4,28.0,26.2
п220214,25.9,25.2,27.0
п060314,25.2,24.8,26.1
п050314,30.8,30.2,31.4
п050314,29.4,28.8,30.2
п050314,30.4,29.0,28.2
п060314,29.8,28.7,24.6
п040414,31.2,30.7,29.6
п040414,31.3,30.6,29.8
п060414,29.6,28.4,26.8
п060414,29.2,28.5,27.0
п060414,30.2,28.4,27.4
п060414,29.3,28.8,26.2
п140514,30.2,29.4,27.5
п140514,29.8,29.6,27.3
п140514,28.1,27.1,25.2
п040614,26.9,26.2,24.7
п140614,29.4,27.8,27.3
п040614,27.4,26.1,24.8
п080714,28.4,27.9,25.5
п070714,29.1,27.8,25.4
п080714,27.4,26.8,25.6
п080714,26.1,25.2,25.8
п080714,25.6,25.1,23.7
п170814,26.8,25.3,27.5
п170814,27.8,26.5,27.9
п170814,26.5,25.5,27.0
п100914,26.0,25.7,23.6
п100914,26.8,25.9,25.2
п021014,27.4,27.0,24.3
п151014,32.5,31.2,26.7
п151014,30.2,28.9,25.7
п151014,30.6,29.1,27.4
П151014,30.4,28.7,26.8
п051114,32.5,31.9,29.0
п041114,31.7,30.8,28.4
п041114,30.8,29.7,31.2
п051114,31.6,31.1,26.9
п041214,29.4,29.0,27.3
п041214,29.6,28.6,27.0
п150115,30.7,29.0,26.0
п150115,30.2,29.8,25.7
п150115,27.6,27.9,25.0
п060215,29.7,29.0,25.4
п090215,27.7,27.9,24.3
п060215,30.2,29.8,24.6
п090215,27.1,28.0,25.1
п090215,28.4,27.4,26.5
п090215,27.9,27.3,24.5
п060315,28.3,27.6,24.3
п060315,27.1,27.4,23.9
п060315,27.8,27.2,25.1
п060315,30.1,28.5,29.3
п060315,30.2,28.4,28.5
п060315,29.4,28.5,28.1
п060315,30.0,28.3,29.5
п010415,30.3,28.9,29.1
п010415,29.6,28.6,28.7
п010415,29.4,29.1,26.1
п160415,29.8,28.4,27.0
п010415,28.7,28.2,26.4
п010415,28.5,28.3,26.4
п010415,28.5,28.4,26.0
п170515,29.2,28.6,26.8
п170515,29.3,28.5,26.7
п090615,29.2,28.6,27.3
п090615,29.4,27.6,28.9
п020715,29.2,28.2,27.4
п230715,30.8,29.6,28.8
п040815,33.6,31.2,28.0
п030815,32.8,32.0,27.2
п030815,32.0,30.4,29.6
п040815,32.4,30.9,28.7
п090915,29.4,30.1,28.6
п171015,30.2,29.1,27.3
п271115,33.5,32.7,31.4
п021115,31.7,30.4,28.9
п091215,31.8,29.5,30.3
п051215,30.2,27.8,29.3
п051215,31.8,30.8,32.0
п091215,32.6,31.2,32.8
п190116,31.3,30.7,29.8
п010216,31.2,28.8,28
п010216,32,31.2,28.8
п010216,31.8,30.8,29.6
п010216,31.8,30.4,32
п010216,31.8,32,28.8
п030316,32.2,30,29.4
п030316,31.9,30.1,29.7
п030316,31.7,30.8,29.3
п030316,31.9,30.6,29.5
п050316,32.8,31.2,30.4
п050316,29.7,28.3,28.4
п050316,28.9,28,28.8
п050316,30.4,29.1,28.7
п050316,30.4,29.6,29.6
п040416,30.8,30.4,29.2
п040416,30,28.8,27.8
п040416,31.5,30.4,29.8
п040416,30.1,29.3,29.5
п040416,31.6,29.3,29.5
п100516,30.4,30.8,29.8
п100516,31.6,31.8,30.4
п100516,30.6,29.7,30.3
п100516,31.4,30.9,29.8
п060616,30.4,29.9,29.7
п060616,30.6,30,29.4
п060616,30.2,29.8,29.6
п060616,31.3,30.8,30.7
п040716,30.9,29.2,30
п040716,30.8,29.4,29.6
п040716,31.6,29.3,30.4
п190716,32,30.8,30.6
п040716,31.7,30.2,30.8
п040716,30.9,29.8,28.9
п080816,30.4,28.8,29.6
п080816,30.8,28.9,29
п080816,30.2,29.8,27.2
п080816,31,30.8,30.2
п080816,33.2,31.4,32.3
п310816,34.4,32,32.8
п090916,37.8,36.8,35.2
п090916,33,33.8,32.2
п031016,36,36.8,35.2
п031016,31,30.8,31.2
п011116,29.8,30.4,34.4
п011116,28.8,28.6,31.2
п011116,34,34.6,35.8
п071216,35.2,34.4,36
п040117,30.2,28.8,30.8
п030317,32.2,31.4,33.6
п030317,30.4,29.8,32.0
п070317,30.4,27.7,29.8
п070317,30.1,28.4,30.3
п070317,30.1,28.4,30.3
п070317,29.9,28.7,30.3
п070317,30.4,29.8,30.7
п070317,30.5,29.1,30.7
п020417,30.3,29.9,30.5
п020517,31.6,31.0,30.2
п020517,31.7,31.0,30.2
п020517,31.7,29.7,29.4
