№партии,к стали,с подплавл,в нахлест
п180112,35.9,31.8,27.4
п180112,32,31.1,26
п060212,33.3,32,28.6
п050712,38.4,35.2,26.2
п270812,21.1,34,12.6
п030912,22.1,14.9,12.7
п101012,23.7,16.7,20
п101012,30.4,20.8,21.6
п101012,31.8,27.3,23.6
п111012,26.3,18.8,25.2
п031112,31.2,25.3,26.4
п031112,26.4,20.8,18.4
п051212,31.2,28,23.2
п061212,27.2,25.6,24.8
п061212,29.6,22.4,20.4
п170113,33.2,37.9,32.8
п170113,35.2,38.4,34.4
п220113,36,37.6,35.8
п060213,30.4,32.8,29.6
п130713,28.4,23,24.2
п160813,29,24.3,25.1
п160813,31.8,25.6,26.1
п040913,28.4,26.3,23.2
п040913,28.9,27.9,28
п040913,27.6,25.8,25
п040913,28.2,25.6,23.8
п011013,27.8,26.2,24
п021013,29,26.8,25.2
п011013,27.2,25.9,24.3
п011013,28.1,26,24.8
п011013,27.4,26,25.2
п011013,27.2,26.6,24.9
п011013,28,26.8,25.4
п011013,27.9,26.5,25.6
п081113,27.2,25.2,24.3
п071113,27,25.3,24.5
п071113,27.9,27.3,24.6
п081113,28.1,26.9,25.5
п071113,27.7,26.4,25.1
п071113,27.2,26.7,23.4
п071113,27.4,25.8,24.5
п081113,28,26.9,26.8
п071113,27.5,26,26.2
п021213,28.5,26.2,25
п031213,27.4,25.8,24.5
п021213,29,27.9,25.4
п021213,29.1,27.5,25.8
п021213,28.2,27,26.8
п031213,27.6,26.2,25.9
п031213,27,26.8,26.2
п031213,26.8,26,24.8
п160114,28.7,28,26.3
п170114,29.7,28.4,26.2
п160114,28,27.4,25.8
п160114,28.5,28.1,25.9
п160114,28.6,28.4,27.3
п300614,28.4,27.4,24.2
п090714,26.8,26.1,23.1
п090714,25.9,25.2,22.7
п090714,26.1,25.7,23.2
п080914,26.6,25.9,24.7
п080914,26.8,25.7,25.1
п080914,26.5,25.4,25.2
п080914,26.3,25.1,25.7
п080914,26.5,25.4,25.3
п250914,27.9,27.1,26.7
п080914,26.3,25.2,25.4
п031014,26,25.9,23.1
п031014,26.3,25.7,23.4
п031014,26.7,24.5,22.3
п031014,29.8,27.8,24.1
п031014,29.8,27.3,22.3
п241014,29.6,27.6,23.4
П241014,31,30.2,25.1
П241014,31.2,30.8,24.3
п061114,31.3,30.4,29.4
п071114,34.5,32.8,30.6
п061114,30.4,29.7,26.7
п141114,32.5,31.8,33.6
п141114,31.7,30.9,32
п061114,28,26.8,27.9
п141114,32,30.8,27.8
п061114,31.7,31,25.6
п141114,32.4,31.8,27.6
п061114,30.9,30.2,26.6
п011214,30.3,29.7,26.8
п021214,32,31.8,28.2
п021214,31.7,31.2,32.3
п021214,31.8,31.2,28.4
