№партии,к стали,с подплавл,в нахлест
п140112,24.8,24,18.4
п050212,23.4,21.7,17.5
п240312,26.1,21.9,18.8
п050412,26.3,21.7,19.1
п050412,24.8,20.8,20
п050412,26.9,24.3,21.9
п050512,28.4,25.8,22.2
п050512,27.6,23.9,20.5
п040612,25.2,23.2,20.4
п040612,27.9,26.4,22.6
п060712,26.9,24.4,20.7
п060712,26.2,24.8,21.3
п160712,30.6,25.8,22.9
п030812,24.2,21.9,19.6
п030812,4.9,6.4,6.5
п080812,28.4,23.6,22.1
п060912,15.8,11.4,13.4
п180213,24,20.8,19.2
п010313,24.8,20,18.4
п010313,28,26.4,22.4
п070413,24.9,29.2,28.1
п110413,26.2,25.6,24
п110413,24,25.2,26
п070413,24.9,29.2,28.1
п020513,23.9,21.6,22
п020513,23.2,22.4,21.9
п090613,23.8,21.9,21.7
п090613,24.7,21.9,23.3
п090613,24.6,22.2,20
п020713,25.7,24.2,23.5
п020713,24.6,25.4,23.9
п040813,23.7,22.3,21.8
п050813,25.4,23.2,22.5
п040813,23.8,23.6,24.3
п050813,24.1,23.8,24
п040813,23.6,22.8,23.7
п040813,24.3,23.9,22.5
п050813,24.6,22.8,23
п030913,27.6,27,24
п030913,28.2,26,25.8
п030913,31.8,29.7,28.6
п030913,27.9,25.2,24
п051013,25.7,25,28
п051013,26.8,25.7,24.6
п051013,27,25.9,24.3
п070214,28.1,27.3,25.2
п070314,27.6,25.4,26.3
п080314,26.7,24.8,25.6
п080314,27.4,26.2,24
п080314,26.8,26.3,25.7
п080314,30.1,29.7,27.4
п070414,30.6,29,28.4
п080414,30.3,28.7,28
п080414,29.8,28.2,28.3
п080414,29.6,29.1,27.2
п080414,30.1,28.2,27.1
п080414,30.3,29.7,27.5
п120514,28.1,27.4,26.3
п120514,30.4,29.6,30
п120514,29.2,28.1,30.4
п290514,29.7,28.5,30.3
п120514,29.4,28.3,30.2
п060614,29.3,28.1,25.3
п060614,29.4,27.8,25.6
п060614,28.7,27.2,25.2
п010714,26.7,26.1,25.2
п070714,28.2,27.6,25.6
п070714,28,24.8,27
п010714,25.6,25.1,23.8
п010714,26.1,25.3,25.7
п010714,28.1,27.2,24.3
п010714,26.2,25.6,24.7
п220714,30.2,29.6,31.6
п010714,26.1,25.7,23.7
п140814,25.9,25.2,24.4
п150814,25.7,25.1,24.1
п150814,26.4,25.8,27.3
п260814,28.6,27.4,29.3
п010914,28.1,27.6,25.1
п010914,28.6,27.4,26.2
п230914,27.4,26.8,26.2
п230914,27.6,26.5,26.4
п081014,37.8,36.9,35.2
п081014,31.3,29.5,28.4
п221014,30.8,30.2,24.6
п181114,27.6,27,28.4
п181114,29.9,29.3,30.8
п181114,31.2,30.8,27.4
п221214,29.2,28.7,23.4
п160215,28.9,27.6,26.4
п160215,28.7,26.5,27.3
п100315,26.6,26.2,24.8
п100315,26.8,26.3,24.5
п100315,26.7,26.2,25.1
п270315,32.1,32,29.1
п270315,31.9,32.1,29.3
п020415,30.5,31,29.5
п020415,26.3,26,24.2
п020415,27,26.8,25
п020415,32.1,32,28.4
п080415,37.4,37.1,31.2
п020415,27.6,28,24.2
п020415,28.1,27.6,26.3
п020415,27.6,27.2,24.8
п050515,29,28.4,25.3
п050515,29.2,28.7,26.6
п060515,31,30.7,27.4
п060515,30.4,29.5,28.3
п050515,28.9,27.9,26.7
п050515,28.5,27.4,26.3
п050515,28.7,27.3,26.4
п010615,28.4,27.6,26.2
п110615,29.3,29,28.1
п010615,27.8,25.8,26.7
п010615,27.4,26,26.5
п250615,29.3,28.5,27.6
п250615,29.1,28.7,27.2
