№партии,к стали,с подплавл,в нахлест
п110517,28.4,NaN,28.6
п120717,30,NaN,28.4
п120717,29.8,NaN,28.8
п120717,29.9,NaN,30
п030817,36.4,NaN,37
п030817,36.6,NaN,36.9
п030817,31.9,NaN,29.4
п030817,28.9,NaN,28.3
п021017,30.5,NaN,29.4
п021017,29.4,NaN,27.7
п200418,34.9,NaN,35.4
п200418,35.1,NaN,35.8
п200418,35.5,NaN,35.7
п100818,36.4,NaN,36.8
п100818,37,NaN,36.8
п100818,37.1,NaN,36.4
п100818,36.9,NaN,36.3
п011018,27.8,NaN,28
п011018,27.7,NaN,27.5
п060219(25.02.19),26.9,NaN,26.6
п130419(18.04.19),34.6,NaN,33.3
п130419(19.04.19),29.9,NaN,29.2
п130419(20.04.19),28.8,NaN,28.4
п130419(21.04.19),28.7,NaN,29
п130419(23.04.19),29,NaN,28.3
п130419(27.04.19),28,NaN,28.3
п130419(29.04.19),28.5,NaN,28.8
п080519(11.05.19),28.7,NaN,29.3
п080519(12.05.19),28.6,NaN,28.8
п080519(13.05.19),27.7,NaN,28.2
п110619(18.06.19),29.9,NaN,30.4
п130919(24.09.19),28.2,NaN,28.6
