№партии,к стали,с подплавл,в нахлест
п100112,26.6,22.5,19.3
п040312,23.7,21.2,17.3
п040312,22.8,21.1,18.1
п040312,22.4,20.2,17.8
п010412,26.4,24.8,20
п010412,24.8,22.4,20
п010412,24.8,22.4,19.2
п040512,22.1,19.8,16.1
п040512,23.6,17.2,16.4
п130512,28.1,23.6,19.2
п020612,23.8,18.8,17.2
п020612,24.7,19.2,18.4
п220612,26.2,22.3,20.3
п040712,23.9,18.2,17.6
п040712,24,19.1,16.8
п040712,24.9,20.1,19.2
п060812,26.9,22.6,19.4
п140812,9.3,11.9,13.1
п090912,14.1,11.8,15.5
п100912,9.2,9.3,12.3
п180912,9.8,11.4,9.5
п021012,22.4,20,12.7
п031012,21.4,20,12.4
п031012,25.4,20,16.9
п040113,20.8,18.4,19.2
п040113,20,16.8,15.2
п280113,23.2,21.4,15
п200213,21.6,20,19.2
п210313,20.8,19.2,18.4
п210313,21.6,20.8,14.4
п010413,24,20.8,20
п010413,32,24.8,28
п020413,28,22,32
п020413,21.8,19.6,20
п020413,23.3,21.2,19.7
п020413,24.8,22,18.9
п260413,24.6,19.8,19.3
п030513,25.2,22.3,20.4
п060513,25.9,23.6,21.3
п030513,25.9,21,27
п030513,23.7,22.5,21.8
п030513,23.2,21.8,20.9
п030513,25.2,22.3,20.4
п050613,24.6,22,21.7
п060613,24,26.9,21.7
п060613,24.6,21.7,22.5
п060613,24,21.7,26.9
п060613,22,23,26
п010713,25.1,24.6,23.3
п080713,23.3,22.6,22.3
п010713,22.8,21.9,21.3
п010713,24.2,22.8,23.9
п010713,24.8,23.6,19.2
п080713,26.2,23.4,20.4
п120813,29.3,27.6,30.2
п130813,27.8,26.3,29.7
п130813,25.8,26.9,26.3
п130813,26.6,25.3,28.4
п130813,29.7,25,30.3
п130813,27.8,25.3,28.4
п020913,28.4,26.2,25.7
п161013,23.2,22,20.8
п201013,24.4,23.6,21
п121113,24,23.2,21.8
п241213,23.4,22.8,20.6
п190114,24.2,23.5,20.8
п200114,23.5,22.8,20.2
п020214,24.8,23.6,21.8
п010214,24.5,23.5,21.4
п010214,24.6,23.5,21.2
п180214,24,23.2,21.6
п010214,24.6,23.5,21.2
п090314,29.1,27.6,25.9
п100314,28.6,27.9,25.6
п100314,28.2,27,25.2
п100314,27.4,26.5,24.6
п100314,26.8,27.2,24.7
п100314,27.1,26.8,25
п100314,23.3,27,22.7
п100314,26.3,26.8,25.4
п100314,26.6,26.4,25.3
п200314,27.5,27.1,26.8
п100314,26.8,27.1,25.4
п200314,28.4,27.9,26.1
п100314,26.8,26.5,25.4
п090314,27.1,26.7,25.9
п100314,25.4,24.8,23.1
п100314,27.4,26.7,25.8
п010414,28.5,28.4,26.3
п020414,28.3,28.6,26.1
п020414,28.5,26.7,25.8
п010414,25.2,24.8,22.3
п020414,25.3,24,22.3
п010414,25.6,24.4,22.1
п070514,27.4,27,26.8
п070514,25.4,24.8,23.6
п070514,25.7,25.2,24.3
п070514,26.3,25.7,24.2
п200514,27.4,26.3,25
п280514,23.5,22.8,21.6
п070514,25.9,25.2,24.1
п200514,27.5,25.7,26.8
п010614,25.4,25,24.6
п090614,23.5,22.9,22.4
п010614,26.5,25.4,24.7
п010614,25.3,24.7,23.1
п150614,28.7,26.3,27.5
п010614,26.5,25,24.7
п010614,26.4,25.7,24.2
п010614,26.2,25.4,24.6
п010614,26.8,25.7,24.6
п250614,26.4,25.8,23.1
п010614,26.7,26.2,23.4
п030714,25.7,24.6,23.8
п040714,23.9,23.1,21.2
п030714,25.2,24.1,22.1
п050714,27,26.2,24
п030714,25.1,24.6,22.1
п030714,25.3,24.5,22.1
п030714,25.7,24.8,23.3
п030714,24.1,23.7,21.1
п070814,24.8,23.9,22.6
п070814,25.4,25,24.8
п070814,26.2,25.5,25.4
п070814,26.7,25.2,25.6
п020914,27.3,26.7,22.8
п040914,25.9,26.4,22.1
п191114,25.6,25,23.1
п141214,26.1,25.7,21.4
п160115,27.5,27.1,23.4
п250215,26.8,25.2,24.4
п260215,27.3,25.3,24.2
п020315,27.2,26.3,25.4
п030315,26.3,26.1,24
п030315,26.6,25.8,24.2
п130315,26.2,25.9,24.2
п020315,27.4,26.5,25.7
п030315,26,25.4,24.2
п030315,27.4,27.2,23.1
п030315,27.6,26.9,24
п030415,27.2,26.8,23.6
п140415,26.4,26.6,22.8
п030415,25.9,26,23.8
п140415,26.7,26.4,23.1
п250415,25.4,26,22.6
п030415,26.2,26.7,23.4
п110515,26.9,27,23.8
п260515,26.9,27,29.6
п250515,26.8,26.1,24.6
п110515,26.3,25.8,24.5
п030615,26.7,26.1,25
п030615,26.5,25.9,25.4
п020615,27.3,25.7,26.4
п160615,26.1,25.8,24.1
п030615,26.9,26.2,25.2
п020615,27.4,26.9,25.4
п030615,26.4,25.8,25.7
п030615,26.5,25.6,25.9
п040715,28.8,27.2,26.8
п050715,27.6,27,26.8
п050715,28,26.8,25.4
п040715,33.6,31.2,28
п050715,27.6,27,26.8
п040715,33.6,31.2,28
п050815,26.8,26,25.4
п060815,28,27.8,25.8
п050815,27.3,26.2,26.8
п060815,28,27.5,27.3
п050815,27.2,26.4,25.8
п050815,27.6,26.7,26.4
п040915,28.4,27.5,26.6
п110915,27.5,27.3,26.7
п110915,26.9,26,27.3
п110915,26.5,25.9,27
п040915,27.2,26.4,25.6
п041015,27.4,26.5,26.8
п221015,28.8,28,26.4
п271015,30.8,27,31.4
п271015,30.4,28,29.8
п221215,29.8,27.2,28.8
п221215,29.3,27.7,27.6
п211215,28.9,26.8,28
п050216,28.8,28,27.2
п050216,29.6,30.4,27.8
п050216,28.5,25.9,27.4
п050216,29.4,28.3,27.5
п050216,28.9,27.8,27.6
п010316,28.6,26.9,27.8
п010316,28.6,26.9,27.8
п010316,28.4,27.5,27.3
п070316,29.9,28.3,28.5
п060316,30.4,28.9,29.6
п010316,29.3,27.6,28.7
п010316,28,28,27.4
п010316,28.4,28.2,27.7
п070316,29.3,28.4,28
п010316,28.4,27.8,27.7
п010316,28.3,26.8,27.6
п070316,29,27.9,28.3
п010316,28.5,27.3,27.6
п030416,27.8,26.4,27.2
п060416,29.8,28,28
п030416,28,26.2,26.4
п030416,28.5,26.7,27.5
п030416,28.4,27.3,29
п060416,29.5,28.2,28.9
п060416,28.5,26.9,29.1
п040516,27.8,30.2,26.6
п050516,26.8,24.8,28
п050516,24.8,24,23.8
п040516,26.4,25.6,24
п050516,29.8,28.8,28
п050516,27.8,26.3,28
п010616,28.4,26.8,27.5
п010616,29.5,27.6,28.3
п080616,28.4,27.3,27.9
п050716,29.6,28.4,28.4
п050716,29.3,27.9,28.4
п050716,29.4,27.9,28.7
п120716,29.2,28.8,28.2
п050716,30.2,29.2,28.8
п120716,30.9,29.8,29.9
п030816,32,31.8,30.4
п040816,34.8,34,30.8
