№партии,к стали,с подплавл,в нахлест
п050514,27.5,27.0,26.8
п050514,27.8,27.3,27.1
п050514,26.5,25.9,24.0
п050514,26.3,25.7,24.1
п170714,23.0,22.6,25.0
п170714,24.1,23.4,25.6
п170714,25.2,24.7,26.1
п170714,25.4,24.1,26.4
п020814,25.3,24.6,26.3
п020814,25.8,25.2,27.4
п020814,25.6,25.4,26.9
п020814,25.7,25.2,26.8
п020814,25.4,24.9,26.7
п020814,25.4,24.5,26.6
п020814,25.7,25.2,26.4
п020814,26.3,25.3,26.8
п121114,30.1,28.7,32.4
п121114,29.3,28.4,31.2
п121114,28.2,27.8,29.1
п121114,29.0,28.3,30.1
п180215,27.9,27.2,26.3
п190315,29.4,28.1,27.8
п190315,28.6,27.7,27.5
п190315,28.5,27.4,26.9
п190315,28.3,27.9,25.1
п190315,28.5,27.6,26.7
п270415,27.6,27.2,26.8
п270415,28.1,27.8,27.3
п070515,26.8,26.5,24.1
п070515,26.2,26.4,25.0
п070515,27.0,26.8,25.2
п070515,27.6,27.0,25.1
п070515,27.5,26.8,25.4
п070515,27.3,26.5,25.0
п070515,27.7,26.4,25.6
п070515,27.5,26.7,25.2
п070515,27.2,26.5,25.4
п080715,26.4,25.6,24.8
п080815,25.7,24.8,24.8
п080815,26.4,25.6,24.0
п080815,26.6,25.7,24.5
п080815,26.8,25.3,24.7
п080815,26.8,25.6,24.3
п080815,26.5,25.4,24.8
п180215,27.9,27.2,26.3
п190315,29.4,28.1,27.8
п190315,28.6,27.7,27.5
п190315,28.5,27.4,26.9
п190315,28.3,27.9,25.1
п190315,28.5,27.6,26.7
п270415,27.6,27.2,26.8
п270415,28.1,27.8,27.3
п070515,26.8,26.5,24.1
п070515,26.2,26.4,25.0
п070515,27.0,26.8,25.2
п070515,27.6,27.0,25.1
п070515,27.5,26.8,25.4
п070515,27.3,26.5,25.0
п070515,27.7,26.4,25.6
п070515,27.5,26.7,25.2
п070515,27.2,26.5,25.4
п070717,30.3,27.7,29.4
п070717,29.8,27.1,28.6
п070717,28.9,26.9,28.4
п050817,36.8,35.4,36.5
п050817,31.8,30.4,31.2
п050817,32.8,31.9,32.3
п050817,33.6,32.6,33.0
п050817,33.9,32.0,33.4
п100419(16.04.19),28.4,27.2,28.0
п100419(17.04.19),28.8,27.4,28.1
п100419(18.04.19),34.6,32.8,33.3
п100419(23.04.19),28.6,27.3,29.1
п100419(24.04.19),28.4,27.5,29.2
п100419(25.04.19),32.8,31.4,32.0
п090519(13.05.19),29.0,27.8,29.2
п090519(14.05.19),28.0,27.2,28.1
п090519(15.05.19),30.4,30.0,31.3
п090519(16.05.19),29.4,28.6,30.0
п100819(14.08.19),28.0,27.7,28.4
п031019(01.10.19),28.8,28.1,29.0
п031019(02.10.19),28.6,28.1,28.9
